                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83757,                0.97013,                 1.2428,                0.70067,                0.76938,                0.81338,                0.71225,                0.59672,                0.82699,                 1.0262,              0.0095191,              0.0095191,              0.0095191
                     36,                0.82887,                 0.9578,                 1.2444,                0.70401,                0.77306,                0.81048,                0.70465,                0.57673,                0.79447,                 1.0186,               0.009505,               0.009505,               0.009505
                     37,                0.82535,                0.95176,                 1.2404,                0.73599,                0.72734,                0.79752,                0.69873,                0.57616,                0.77844,                 1.0127,              0.0094909,              0.0094909,              0.0094909
                     38,                0.82294,                0.94953,                 1.2376,                0.73867,                0.72488,                0.82014,                0.71692,                0.58124,                0.75839,                 1.0185,              0.0094767,              0.0094767,              0.0094767
                     39,                0.82352,                0.94597,                 1.2343,                0.73437,                0.73791,                0.80069,                 0.6986,                0.58151,                0.78202,                 1.0189,              0.0094626,              0.0094626,              0.0094626
                     40,                0.82042,                0.95258,                 1.2342,                0.72851,                0.72196,                0.79526,                0.70044,                0.56948,                0.77069,                 1.0077,              0.0094484,              0.0094484,              0.0094484
                     41,                0.80159,                0.93161,                 1.2101,                0.78727,                0.70443,                0.81613,                0.71518,                0.57053,                0.77313,                 1.0088,              0.0094343,              0.0094343,              0.0094343
                     42,                0.79761,                 0.9297,                 1.2177,                0.72963,                0.71474,                 0.8016,                0.70269,                0.57206,                0.76397,                 1.0088,              0.0094201,              0.0094201,              0.0094201
                     43,                 0.8044,                0.91382,                 1.2133,                0.72885,                 0.7592,                 0.8238,                0.72688,                0.55571,                0.74159,                0.98869,               0.009406,               0.009406,               0.009406
                     44,                0.79987,                0.91905,                 1.2167,                0.76359,                0.75551,                0.82184,                0.72736,                0.55679,                0.73765,                0.99253,              0.0093919,              0.0093919,              0.0093919
                     45,                0.79961,                0.91088,                 1.2107,                0.79039,                0.72519,                0.83086,                0.73235,                0.56499,                0.73999,                 1.0036,              0.0093777,              0.0093777,              0.0093777
                     46,                0.78306,                0.89418,                 1.1952,                0.76556,                0.72386,                 0.8269,                0.73451,                0.54319,                0.72454,                0.97465,              0.0093636,              0.0093636,              0.0093636
                     47,                  0.788,                0.90097,                 1.2054,                0.78114,                0.72243,                0.82601,                0.72611,                0.56926,                0.73574,                 1.0004,              0.0093494,              0.0093494,              0.0093494
                     48,                0.79563,                0.89208,                 1.2004,                0.74966,                0.76105,                0.82547,                0.72622,                0.56874,                0.75691,                0.99517,              0.0093353,              0.0093353,              0.0093353
                     49,                0.78627,                0.88273,                 1.1961,                0.77954,                0.71963,                0.82459,                0.72903,                 0.5445,                0.74438,                0.98338,              0.0093211,              0.0093211,              0.0093211
                     50,                0.77298,                0.87998,                 1.1834,                0.75485,                0.74965,                0.83117,                0.73397,                0.53817,                 0.7376,                0.97172,               0.009307,               0.009307,               0.009307
                     51,                0.76672,                0.86795,                 1.1886,                0.72669,                0.78204,                0.83311,                0.73655,                0.54989,                0.71737,                 0.9882,              0.0092929,              0.0092929,              0.0092929
                     52,                0.76762,                0.86262,                 1.1843,                0.73071,                0.77923,                0.82244,                0.72505,                0.54819,                0.72168,                0.98108,              0.0092787,              0.0092787,              0.0092787
                     53,                0.76961,                0.86708,                 1.1821,                0.74571,                0.73877,                0.81608,                0.72797,                0.53096,                0.73921,                0.96969,              0.0092646,              0.0092646,              0.0092646
                     54,                0.76036,                0.85521,                  1.174,                0.79615,                0.75688,                0.84279,                0.74671,                0.53545,                0.70525,                0.96471,              0.0092504,              0.0092504,              0.0092504
                     55,                0.75931,                0.85503,                 1.1742,                0.75658,                0.77942,                0.83886,                0.74942,                0.52422,                0.70532,                0.95481,              0.0092363,              0.0092363,              0.0092363
                     56,                0.75132,                0.82985,                  1.168,                  0.777,                0.72812,                 0.8342,                0.74337,                0.53989,                0.69661,                0.97948,              0.0092221,              0.0092221,              0.0092221
                     57,                0.75786,                0.83785,                 1.1766,                0.74534,                0.77734,                0.83573,                0.74806,                0.52481,                0.70635,                0.96203,               0.009208,               0.009208,               0.009208
                     58,                0.75217,                0.83993,                 1.1619,                0.75159,                 0.7587,                0.82804,                0.74393,                0.52065,                0.71079,                 0.9531,              0.0091939,              0.0091939,              0.0091939
                     59,                0.75291,                0.84521,                 1.1698,                0.79454,                0.74823,                0.84597,                0.75524,                0.53214,                0.69079,                0.96025,              0.0091797,              0.0091797,              0.0091797
                     60,                0.75583,                0.84181,                 1.1682,                0.75914,                0.76416,                0.83262,                0.74649,                0.52019,                0.72182,                 0.9546,              0.0091656,              0.0091656,              0.0091656
                     61,                0.75405,                0.83817,                 1.1631,                0.74444,                0.79093,                0.84317,                0.75792,                0.52086,                0.68352,                0.95886,              0.0091514,              0.0091514,              0.0091514
                     62,                0.75113,                0.83753,                 1.1614,                0.73666,                0.78611,                0.84622,                  0.756,                 0.5326,                0.67687,                0.97271,              0.0091373,              0.0091373,              0.0091373
                     63,                0.75419,                0.82438,                 1.1597,                0.74037,                0.79389,                 0.8469,                 0.7598,                0.52592,                0.69394,                 0.9631,              0.0091231,              0.0091231,              0.0091231
                     64,                0.74263,                0.80773,                 1.1604,                0.75519,                0.78945,                0.83634,                0.74776,                0.52124,                0.68961,                0.95416,               0.009109,               0.009109,               0.009109
                     65,                0.73798,                0.80385,                 1.1524,                0.74313,                 0.7496,                0.83767,                0.74813,                0.52071,                0.69071,                0.95893,              0.0090949,              0.0090949,              0.0090949
                     66,                0.73623,                0.80431,                 1.1549,                0.76266,                0.75611,                0.83939,                0.75398,                0.52294,                0.68952,                0.95731,              0.0090807,              0.0090807,              0.0090807
                     67,                0.74338,                0.80686,                 1.1573,                0.78706,                0.76567,                0.84871,                 0.7637,                0.51999,                0.67509,                0.95123,              0.0090666,              0.0090666,              0.0090666
                     68,                0.72904,                0.79856,                 1.1484,                0.77667,                0.76683,                0.84919,                0.76113,                0.52695,                0.67328,                0.96342,              0.0090524,              0.0090524,              0.0090524
                     69,                0.74565,                0.80452,                 1.1513,                0.73841,                0.78123,                0.84749,                0.76259,                0.52676,                0.67024,                0.96133,              0.0090383,              0.0090383,              0.0090383
                     70,                0.73154,                0.80585,                 1.1477,                0.78548,                0.72189,                0.83988,                0.75751,                0.51892,                0.67257,                0.95197,              0.0090241,              0.0090241,              0.0090241
                     71,                0.72592,                0.79385,                 1.1409,                0.71746,                0.80067,                0.84265,                 0.7565,                0.51665,                0.66672,                0.94766,                0.00901,                0.00901,                0.00901
                     72,                0.72728,                0.78487,                 1.1443,                0.75616,                0.76621,                0.84742,                0.75586,                 0.5122,                0.70359,                0.94562,              0.0089959,              0.0089959,              0.0089959
                     73,                 0.7291,                0.78535,                  1.141,                0.77848,                0.73618,                0.83709,                0.74852,                0.52173,                0.68815,                0.95914,              0.0089817,              0.0089817,              0.0089817
                     74,                0.72132,                0.78608,                 1.1383,                0.78687,                0.75095,                0.84776,                0.75968,                0.52226,                 0.6726,                0.95798,              0.0089676,              0.0089676,              0.0089676
                     75,                0.71881,                0.77538,                 1.1434,                0.78944,                  0.735,                0.84643,                0.76101,                0.51438,                0.66739,                 0.9526,              0.0089534,              0.0089534,              0.0089534
                     76,                0.71869,                0.77861,                  1.139,                 0.7581,                0.80518,                0.85419,                0.76989,                0.51236,                 0.6633,                0.94389,              0.0089393,              0.0089393,              0.0089393
                     77,                0.71538,                0.76837,                 1.1316,                0.74429,                0.77456,                0.84421,                0.75888,                0.52277,                0.67607,                0.96075,              0.0089251,              0.0089251,              0.0089251
                     78,                0.71816,                0.77364,                  1.131,                0.72024,                0.81073,                0.84694,                0.76101,                 0.5086,                 0.6808,                0.94569,               0.008911,               0.008911,               0.008911
                     79,                0.71473,                0.76721,                 1.1342,                0.78352,                0.74809,                0.84546,                0.75614,                0.51134,                0.67153,                0.94276,              0.0088969,              0.0088969,              0.0088969
                     80,                0.71778,                 0.7657,                 1.1363,                0.78178,                0.74666,                0.84475,                0.75764,                0.50745,                0.67598,                0.93884,              0.0088827,              0.0088827,              0.0088827
                     81,                0.71289,                0.75535,                 1.1283,                0.74383,                0.79456,                0.85297,                0.76862,                0.50072,                0.66724,                0.93412,              0.0088686,              0.0088686,              0.0088686
                     82,                0.71534,                0.75689,                 1.1297,                0.76407,                0.76996,                0.84535,                0.75803,                0.50641,                0.68309,                0.93878,              0.0088544,              0.0088544,              0.0088544
                     83,                0.70269,                0.75472,                 1.1213,                0.77206,                0.74765,                0.84131,                0.75358,                0.50987,                0.68417,                0.93811,              0.0088403,              0.0088403,              0.0088403
                     84,                0.70221,                 0.7485,                  1.126,                0.77439,                0.74901,                0.84316,                0.76347,                 0.5077,                0.68202,                0.93738,              0.0088261,              0.0088261,              0.0088261
                     85,                0.70336,                0.74824,                 1.1216,                0.72114,                0.78844,                0.84465,                0.76122,                0.50247,                0.67965,                0.93377,               0.008812,               0.008812,               0.008812
                     86,                0.69729,                0.74512,                 1.1167,                0.71621,                0.78377,                0.84361,                0.76097,                0.50315,                0.67617,                0.93259,              0.0087979,              0.0087979,              0.0087979
                     87,                0.70681,                0.74531,                 1.1209,                0.77482,                0.71743,                0.83136,                0.74776,                0.50282,                0.69436,                0.93075,              0.0087837,              0.0087837,              0.0087837
                     88,                0.69716,                0.73923,                 1.1191,                0.75109,                0.77349,                0.84493,                0.76222,                 0.5005,                0.68099,                0.92786,              0.0087696,              0.0087696,              0.0087696
                     89,                 0.7024,                0.74203,                 1.1187,                0.71534,                0.81402,                0.84749,                0.76516,                0.49635,                0.67248,                0.92894,              0.0087554,              0.0087554,              0.0087554
                     90,                0.70034,                  0.742,                 1.1162,                 0.7106,                0.82348,                0.84821,                0.76758,                0.49731,                0.66108,                0.92771,              0.0087413,              0.0087413,              0.0087413
                     91,                0.68679,                0.72863,                 1.1102,                0.73553,                0.78966,                0.84714,                0.76736,                0.49279,                0.66048,                0.92665,              0.0087271,              0.0087271,              0.0087271
                     92,                 0.6955,                0.72522,                 1.1202,                0.74901,                 0.7659,                0.84943,                0.76691,                 0.4914,                0.65859,                0.92948,               0.008713,               0.008713,               0.008713
                     93,                0.69216,                0.72342,                 1.1084,                0.73645,                0.77958,                0.84397,                0.76539,                0.49159,                 0.6667,                0.92826,              0.0086989,              0.0086989,              0.0086989
                     94,                0.68872,                0.72497,                 1.1159,                0.77021,                0.75731,                0.84321,                0.76419,                0.49064,                0.67282,                 0.9264,              0.0086847,              0.0086847,              0.0086847
                     95,                0.67964,                0.70953,                  1.107,                0.77264,                0.75938,                0.85005,                   0.77,                0.48726,                0.65738,                0.92403,              0.0086706,              0.0086706,              0.0086706
                     96,                 0.6863,                0.71849,                 1.1035,                0.74524,                0.79474,                0.84585,                0.76526,                0.48845,                0.65282,                0.92284,              0.0086564,              0.0086564,              0.0086564
                     97,                0.68336,                0.72489,                 1.1048,                 0.7471,                0.78366,                0.84331,                0.76559,                0.49251,                0.66355,                0.92486,              0.0086423,              0.0086423,              0.0086423
                     98,                0.68223,                0.70558,                 1.1012,                0.73478,                0.80219,                 0.8424,                0.76305,                0.49143,                0.66537,                0.92383,              0.0086281,              0.0086281,              0.0086281
                     99,                0.68894,                0.71017,                 1.1106,                0.74571,                0.78968,                0.84015,                0.76131,                0.49263,                0.66471,                0.92461,               0.008614,               0.008614,               0.008614
                    100,                0.67755,                 0.7103,                 1.1026,                0.77543,                0.75315,                0.84204,                0.76296,                0.49055,                0.66052,                0.92292,              0.0085999,              0.0085999,              0.0085999
                    101,                0.68251,                0.69749,                 1.0996,                 0.7748,                0.75863,                0.84439,                0.76574,                0.49124,                0.65781,                0.92285,              0.0085857,              0.0085857,              0.0085857
                    102,                0.67967,                0.71363,                    1.1,                0.71144,                0.82934,                 0.8493,                0.77159,                0.48819,                 0.6533,                0.92055,              0.0085716,              0.0085716,              0.0085716
                    103,                0.67976,                0.70764,                 1.1005,                0.78421,                0.74691,                0.84942,                0.77221,                0.48599,                0.65034,                0.91834,              0.0085574,              0.0085574,              0.0085574
                    104,                0.68513,                 0.7025,                 1.1021,                0.78017,                0.74801,                0.84805,                0.77083,                0.48656,                0.65344,                0.91716,              0.0085433,              0.0085433,              0.0085433
                    105,                0.67877,                0.70469,                 1.0979,                0.72766,                0.82007,                0.84773,                0.77099,                0.48653,                0.65897,                0.91762,              0.0085291,              0.0085291,              0.0085291
                    106,                 0.6802,                0.69561,                  1.095,                0.77977,                0.77644,                0.84539,                0.76802,                0.48676,                0.65666,                0.91591,               0.008515,               0.008515,               0.008515
                    107,                0.67179,                0.68486,                 1.0949,                0.73285,                 0.8291,                0.84644,                 0.7693,                0.48841,                 0.6536,                0.92004,              0.0085009,              0.0085009,              0.0085009
                    108,                0.67523,                  0.695,                 1.0977,                0.74354,                0.81846,                0.84987,                0.77236,                0.48775,                0.65458,                0.92055,              0.0084867,              0.0084867,              0.0084867
                    109,                0.67188,                0.68704,                  1.095,                0.75529,                0.79935,                0.84758,                0.76857,                0.48695,                0.66157,                0.91868,              0.0084726,              0.0084726,              0.0084726
                    110,                0.67554,                0.68871,                 1.0978,                0.73111,                0.82226,                0.84762,                0.76745,                0.48767,                0.66292,                0.92049,              0.0084584,              0.0084584,              0.0084584
                    111,                0.66819,                0.67436,                 1.0924,                0.74142,                 0.8053,                0.84719,                0.76718,                0.49122,                0.66328,                0.92594,              0.0084443,              0.0084443,              0.0084443
                    112,                0.67054,                0.68017,                 1.0918,                0.74678,                0.80008,                 0.8482,                0.76914,                0.49241,                 0.6592,                 0.9255,              0.0084301,              0.0084301,              0.0084301
                    113,                0.66502,                0.67724,                 1.0905,                0.74241,                0.81885,                0.84765,                0.76935,                0.49155,                0.66181,                0.92525,               0.008416,               0.008416,               0.008416
                    114,                0.67373,                0.67995,                 1.0912,                0.71946,                0.83411,                0.84863,                 0.7704,                0.48898,                0.66505,                0.91969,              0.0084019,              0.0084019,              0.0084019
                    115,                0.67376,                0.68391,                 1.0899,                0.78175,                0.76254,                 0.8478,                0.76943,                 0.4855,                0.66573,                0.91455,              0.0083877,              0.0083877,              0.0083877
                    116,                 0.6657,                0.67622,                 1.0855,                0.75151,                0.79076,                0.84654,                0.77113,                0.48368,                0.66547,                0.91355,              0.0083736,              0.0083736,              0.0083736
