                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.84477,                0.96942,                 1.2472,                0.74425,                0.72033,                 0.8085,                0.68752,                 0.6503,                0.87655,                 1.0675,              0.0095191,              0.0095191,              0.0095191
                     36,                0.84723,                0.96171,                  1.253,                0.71581,                 0.7393,                  0.812,                0.70704,                0.59927,                  0.819,                 1.0272,               0.009505,               0.009505,               0.009505
                     37,                0.83727,                0.96266,                 1.2456,                0.71218,                0.74635,                0.80298,                0.69921,                0.58706,                0.80463,                 1.0165,              0.0094909,              0.0094909,              0.0094909
                     38,                0.82904,                0.95806,                  1.243,                0.72589,                0.71524,                0.80891,                0.70973,                0.58439,                0.79673,                 1.0211,              0.0094767,              0.0094767,              0.0094767
                     39,                0.83643,                0.95126,                 1.2403,                0.73448,                0.72241,                0.80766,                0.70068,                0.58973,                0.78443,                  1.015,              0.0094626,              0.0094626,              0.0094626
                     40,                0.82878,                0.96069,                 1.2362,                0.71692,                0.71342,                0.80087,                0.69425,                0.59045,                0.77452,                 1.0132,              0.0094484,              0.0094484,              0.0094484
                     41,                0.81074,                0.93392,                 1.2104,                0.72426,                0.74858,                0.82429,                0.71397,                0.56818,                0.75988,                  1.003,              0.0094343,              0.0094343,              0.0094343
                     42,                0.81311,                0.94319,                 1.2249,                0.74116,                0.74101,                0.82067,                0.71314,                0.57504,                 0.7276,                 1.0125,              0.0094201,              0.0094201,              0.0094201
                     43,                0.81661,                0.93156,                 1.2175,                0.75098,                0.73555,                0.82293,                 0.7208,                0.58092,                0.73148,                 1.0074,               0.009406,               0.009406,               0.009406
                     44,                0.80864,                0.92958,                  1.221,                0.76501,                0.71696,                0.82282,                0.72156,                0.56353,                0.74996,                 0.9918,              0.0093919,              0.0093919,              0.0093919
                     45,                0.80686,                0.90994,                 1.2103,                0.73408,                0.71047,                0.80881,                0.69937,                0.58794,                0.79157,                 1.0115,              0.0093777,              0.0093777,              0.0093777
