                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.71351,                0.96106,                 1.2202,                0.75014,                0.71485,                0.80404,                0.70836,                0.54529,                0.77906,                 1.0627,              0.0095191,              0.0095191,              0.0095191
                     36,                0.71423,                0.95765,                 1.2207,                0.66509,                  0.791,                0.79024,                0.70489,                0.52149,                0.76639,                 1.0301,               0.009505,               0.009505,               0.009505
                     37,                0.70864,                0.95186,                 1.2161,                0.68995,                0.74006,                0.78823,                0.69862,                0.51281,                0.78025,                 1.0175,              0.0094909,              0.0094909,              0.0094909
                     38,                0.70829,                0.95331,                 1.2169,                0.68582,                0.75197,                0.80597,                0.71264,                0.52474,                 0.7618,                 1.0305,              0.0094767,              0.0094767,              0.0094767
                     39,                0.71099,                0.94543,                 1.2163,                0.71304,                0.79022,                0.80256,                0.71671,                0.51049,                0.77447,                 1.0133,              0.0094626,              0.0094626,              0.0094626
                     40,                0.71269,                  0.949,                 1.2195,                0.71463,                0.76185,                0.80736,                0.72497,                0.51172,                  0.747,                 1.0114,              0.0094484,              0.0094484,              0.0094484
                     41,                0.69817,                 0.9363,                 1.1997,                0.73558,                0.76178,                0.80897,                0.72456,                0.50646,                0.74504,                 1.0116,              0.0094343,              0.0094343,              0.0094343
                     42,                0.69442,                0.93364,                 1.2042,                 0.7257,                0.72701,                0.79905,                0.71159,                0.52694,                0.76004,                 1.0362,              0.0094201,              0.0094201,              0.0094201
                     43,                0.69521,                0.92461,                 1.2033,                0.75497,                0.77595,                 0.8239,                0.72778,                0.53078,                0.71616,                 1.0438,               0.009406,               0.009406,               0.009406
                     44,                0.69675,                0.92777,                  1.203,                0.68804,                0.75851,                0.80117,                0.71989,                0.49081,                 0.7578,                0.98681,              0.0093919,              0.0093919,              0.0093919
                     45,                0.69677,                0.91739,                 1.1966,                0.70511,                0.76002,                0.82136,                0.73943,                0.49466,                0.74504,                0.99093,              0.0093777,              0.0093777,              0.0093777
                     46,                0.68597,                0.90417,                 1.1893,                0.71378,                0.77466,                0.81689,                0.73634,                 0.4913,                0.73095,                0.99138,              0.0093636,              0.0093636,              0.0093636
                     47,                0.68602,                0.90556,                 1.1929,                0.71416,                0.76933,                0.81242,                0.72193,                0.52015,                0.73118,                 1.0387,              0.0093494,              0.0093494,              0.0093494
                     48,                0.69312,                0.90932,                 1.1923,                0.74574,                0.78565,                0.82485,                0.73923,                0.50162,                0.72929,                 1.0041,              0.0093353,              0.0093353,              0.0093353
                     49,                0.68896,                0.89646,                 1.1977,                0.74332,                0.77476,                0.82867,                0.74246,                0.49201,                0.72714,                0.99886,              0.0093211,              0.0093211,              0.0093211
                     50,                0.67393,                0.88003,                 1.1774,                 0.7376,                0.76948,                0.82353,                0.73829,                0.49867,                0.72468,                 1.0057,               0.009307,               0.009307,               0.009307
                     51,                0.67642,                0.87835,                 1.1812,                0.78378,                0.73377,                0.82722,                0.74269,                 0.4966,                0.72832,                0.99438,              0.0092929,              0.0092929,              0.0092929
                     52,                0.67542,                0.88194,                 1.1762,                0.73676,                0.77163,                0.81482,                 0.7305,                0.50187,                0.72249,                 1.0089,              0.0092787,              0.0092787,              0.0092787
                     53,                0.67823,                 0.8794,                 1.1764,                 0.7254,                0.79049,                  0.831,                0.74074,                0.48763,                 0.7005,                0.98304,              0.0092646,              0.0092646,              0.0092646
                     54,                0.67319,                0.86609,                 1.1751,                0.77505,                0.76563,                 0.8387,                0.75322,                0.48557,                0.69433,                 0.9839,              0.0092504,              0.0092504,              0.0092504
                     55,                0.67325,                0.87435,                 1.1789,                0.77043,                0.75559,                0.82629,                0.74623,                0.48673,                 0.7066,                0.98889,              0.0092363,              0.0092363,              0.0092363
                     56,                0.66887,                 0.8579,                 1.1751,                0.75629,                0.80612,                0.82966,                0.75087,                0.48625,                0.68151,                0.99594,              0.0092221,              0.0092221,              0.0092221
                     57,                0.66675,                0.85943,                 1.1744,                 0.7894,                0.75144,                0.83752,                0.75501,                 0.4993,                0.67069,                 1.0085,               0.009208,               0.009208,               0.009208
                     58,                0.66371,                0.85462,                 1.1628,                0.78784,                0.74822,                0.83615,                0.75155,                 0.4716,                0.67725,                0.97145,              0.0091939,              0.0091939,              0.0091939
                     59,                0.65824,                0.86715,                 1.1688,                0.73384,                0.78158,                 0.8351,                0.75529,                0.48125,                 0.6746,                0.98204,              0.0091797,              0.0091797,              0.0091797
                     60,                0.66994,                 0.8609,                 1.1706,                0.72295,                0.79475,                0.83737,                0.75562,                0.48319,                0.67691,                0.98709,              0.0091656,              0.0091656,              0.0091656
                     61,                0.66254,                0.85412,                 1.1639,                0.74781,                0.80175,                0.84043,                0.76214,                  0.472,                0.67154,                0.97186,              0.0091514,              0.0091514,              0.0091514
                     62,                0.66409,                0.86413,                 1.1677,                 0.7495,                0.80064,                0.84736,                0.76181,                 0.4864,                0.66466,                0.98611,              0.0091373,              0.0091373,              0.0091373
                     63,                 0.6618,                0.84524,                 1.1574,                0.74001,                0.78685,                 0.8305,                0.74869,                0.48532,                0.68946,                0.99083,              0.0091231,              0.0091231,              0.0091231
                     64,                0.65324,                0.82566,                 1.1579,                 0.7753,                0.76935,                0.83513,                0.75492,                0.46488,                0.67843,                  0.966,               0.009109,               0.009109,               0.009109
                     65,                0.65288,                0.81875,                 1.1546,                0.78741,                0.73801,                0.82888,                0.74662,                0.48557,                0.69285,                0.99295,              0.0090949,              0.0090949,              0.0090949
                     66,                0.65208,                0.82825,                 1.1579,                0.73062,                0.79106,                0.84001,                0.76077,                0.48096,                0.67435,                0.98221,              0.0090807,              0.0090807,              0.0090807
                     67,                0.65307,                0.82035,                 1.1572,                0.76793,                0.78995,                0.84481,                0.76556,                0.47557,                0.66684,                0.97692,              0.0090666,              0.0090666,              0.0090666
                     68,                0.64065,                0.82312,                 1.1531,                0.78991,                0.75653,                0.84076,                0.76385,                0.47728,                0.67156,                0.97928,              0.0090524,              0.0090524,              0.0090524
                     69,                0.65653,                0.82072,                 1.1517,                0.76607,                0.78834,                0.84035,                0.76375,                 0.4868,                0.65925,                0.99981,              0.0090383,              0.0090383,              0.0090383
                     70,                0.65356,                0.82731,                 1.1554,                0.81248,                0.75324,                0.84669,                0.76865,                0.47878,                0.63618,                0.98303,              0.0090241,              0.0090241,              0.0090241
                     71,                0.64953,                0.81834,                 1.1527,                0.77136,                0.77843,                0.85106,                0.77421,                0.47077,                0.64359,                0.97694,                0.00901,                0.00901,                0.00901
                     72,                0.64696,                0.80613,                 1.1515,                0.78627,                0.79411,                0.85416,                0.77971,                0.47104,                0.67316,                0.97909,              0.0089959,              0.0089959,              0.0089959
                     73,                 0.6502,                0.80518,                 1.1474,                0.78907,                0.78454,                0.85091,                0.77303,                0.46439,                 0.6485,                0.96753,              0.0089817,              0.0089817,              0.0089817
                     74,                0.64318,                0.80867,                 1.1469,                0.76559,                0.80471,                0.85225,                0.77654,                0.46003,                 0.6557,                0.95965,              0.0089676,              0.0089676,              0.0089676
                     75,                0.64177,                0.79526,                 1.1535,                0.77096,                0.80381,                 0.8473,                 0.7716,                0.45844,                0.65699,                0.96223,              0.0089534,              0.0089534,              0.0089534
                     76,                0.64242,                0.79913,                 1.1485,                0.72879,                0.83792,                0.85145,                 0.7787,                0.45897,                0.65778,                0.95993,              0.0089393,              0.0089393,              0.0089393
                     77,                 0.6303,                 0.7936,                 1.1313,                  0.771,                0.80274,                0.84704,                0.77611,                0.46024,                0.66865,                0.96314,              0.0089251,              0.0089251,              0.0089251
                     78,                0.64342,                0.80158,                 1.1417,                0.74625,                0.81829,                0.84882,                0.77363,                0.46412,                0.66036,                0.96822,               0.008911,               0.008911,               0.008911
                     79,                0.63807,                0.79259,                 1.1469,                0.73584,                0.82977,                0.84477,                 0.7687,                0.46179,                0.65209,                  0.965,              0.0088969,              0.0088969,              0.0088969
                     80,                0.63574,                0.78543,                  1.142,                0.78766,                0.77429,                0.85271,                0.77915,                0.45758,                0.63724,                0.95625,              0.0088827,              0.0088827,              0.0088827
                     81,                0.63417,                0.78357,                 1.1414,                0.79958,                0.77103,                0.85472,                0.78073,                0.46034,                0.63872,                0.95992,              0.0088686,              0.0088686,              0.0088686
                     82,                0.64351,                0.78373,                 1.1455,                0.78226,                 0.8057,                0.85414,                0.78402,                 0.4579,                0.63988,                0.95635,              0.0088544,              0.0088544,              0.0088544
                     83,                 0.6332,                0.78929,                 1.1389,                0.76821,                0.80938,                0.85696,                0.78151,                0.46833,                 0.6336,                0.97354,              0.0088403,              0.0088403,              0.0088403
