                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.65333,                0.69379,                  1.001,                0.78692,                0.81674,                 0.8612,                0.77169,                0.48915,                0.65463,                0.86458,               0.009505,               0.009505,               0.009505
                     37,                0.64242,                0.68564,                0.99688,                0.79746,                0.77656,                0.85243,                0.76483,                0.48588,                0.65699,                0.86292,              0.0094909,              0.0094909,              0.0094909
                     38,                0.64782,                0.69427,                 1.0019,                  0.782,                0.78537,                0.84103,                0.75807,                 0.4872,                0.67161,                0.86499,              0.0094767,              0.0094767,              0.0094767
                     39,                0.64843,                0.68137,                0.99523,                 0.7928,                0.75862,                0.84549,                0.76448,                0.47941,                0.67583,                0.85616,              0.0094626,              0.0094626,              0.0094626
                     40,                0.64523,                0.68309,                  1.001,                0.78816,                0.76652,                0.82909,                0.74653,                0.48722,                0.68326,                0.85875,              0.0094484,              0.0094484,              0.0094484
                     41,                0.63583,                0.67936,                0.99027,                 0.8016,                0.77735,                0.85892,                0.77601,                0.48296,                0.65428,                0.85611,              0.0094343,              0.0094343,              0.0094343
                     42,                0.63564,                0.68082,                 1.0006,                0.80763,                  0.791,                0.85555,                0.77298,                0.47939,                0.63949,                0.85666,              0.0094201,              0.0094201,              0.0094201
                     43,                0.64035,                0.65692,                0.99479,                0.78545,                0.82345,                0.84828,                0.77036,                0.46765,                0.63387,                0.85107,               0.009406,               0.009406,               0.009406
                     44,                0.63584,                0.67115,                0.99862,                0.79308,                0.79983,                0.85289,                0.77163,                0.48348,                0.64718,                0.85973,              0.0093919,              0.0093919,              0.0093919
                     45,                0.63675,                0.65325,                0.99136,                0.80271,                0.82829,                0.86639,                0.78469,                0.48178,                0.62848,                  0.856,              0.0093777,              0.0093777,              0.0093777
                     46,                0.62865,                0.64584,                0.98722,                0.77219,                0.80933,                0.86544,                0.78586,                0.47598,                0.63389,                0.85935,              0.0093636,              0.0093636,              0.0093636
                     47,                0.62258,                 0.6474,                0.99257,                 0.8103,                0.81907,                0.85129,                0.76945,                0.47432,                0.62584,                0.85081,              0.0093494,              0.0093494,              0.0093494
                     48,                0.63079,                0.64784,                0.98899,                0.76301,                0.82148,                0.86209,                0.77941,                0.46951,                0.63701,                0.85501,              0.0093353,              0.0093353,              0.0093353
                     49,                0.62819,                0.63051,                0.99062,                0.81104,                0.79585,                0.86041,                0.78271,                0.46834,                0.63361,                0.85336,              0.0093211,              0.0093211,              0.0093211
                     50,                0.62122,                0.62945,                0.98622,                0.80193,                0.80116,                0.86284,                0.78044,                 0.4735,                0.62299,                0.86027,               0.009307,               0.009307,               0.009307
                     51,                0.61313,                0.62269,                0.98521,                0.77325,                0.82925,                0.85824,                0.77975,                0.46315,                0.62454,                0.85052,              0.0092929,              0.0092929,              0.0092929
                     52,                0.61659,                0.62868,                0.98308,                0.81384,                0.79077,                0.86048,                 0.7804,                0.46368,                0.62857,                0.85144,              0.0092787,              0.0092787,              0.0092787
                     53,                0.62089,                0.62132,                0.98541,                0.77943,                0.82326,                0.85577,                0.77858,                0.46191,                0.62944,                  0.849,              0.0092646,              0.0092646,              0.0092646
                     54,                0.61314,                0.61943,                0.98238,                0.79808,                0.83965,                0.85907,                0.78065,                0.46667,                0.62345,                 0.8522,              0.0092504,              0.0092504,              0.0092504
                     55,                0.61022,                0.61103,                0.98075,                0.79768,                0.82268,                 0.8577,                 0.7835,                0.45301,                0.63134,                 0.8421,              0.0092363,              0.0092363,              0.0092363
                     56,                0.60819,                0.60765,                0.97865,                0.78918,                0.83298,                0.85786,                0.78501,                0.46035,                0.62569,                0.84086,              0.0092221,              0.0092221,              0.0092221
                     57,                0.60758,                0.61114,                0.98364,                0.79958,                0.81916,                0.87297,                0.79762,                0.45291,                0.58775,                0.84828,               0.009208,               0.009208,               0.009208
                     58,                0.60466,                0.60507,                0.97444,                0.81757,                 0.8165,                0.86876,                0.79347,                 0.4537,                0.61161,                0.84189,              0.0091939,              0.0091939,              0.0091939
                     59,                0.60416,                 0.6057,                0.98167,                0.78478,                0.83144,                0.86053,                0.78661,                0.45313,                0.60409,                0.84341,              0.0091797,              0.0091797,              0.0091797
                     60,                0.60823,                 0.5962,                0.98134,                0.77328,                0.84229,                0.86873,                 0.7936,                  0.454,                0.61355,                0.84558,              0.0091656,              0.0091656,              0.0091656
                     61,                0.60648,                 0.5976,                0.97766,                0.82604,                0.80152,                0.86223,                0.78839,                 0.4474,                0.59846,                0.83765,              0.0091514,              0.0091514,              0.0091514
