,px,broken,dirty,normal,all
0,0.0,0.15362106803218725,0.28653957250144424,0.3580354548096484,0.36838270091449565
1,0.001001001001001001,0.15362106803218725,0.28653957250144424,0.3580354548096484,0.3741926203929593
2,0.002002002002002002,0.20491667053242452,0.33728950820920617,0.4151388034958963,0.38006921300055607
3,0.003003003003003003,0.2622796256433424,0.3656342768401937,0.4461329911055641,0.38599391877309985
4,0.004004004004004004,0.3067423838054725,0.3856850542483013,0.4649841136004751,0.3919827023318541
5,0.005005005005005005,0.3414008244315612,0.39922834465309043,0.48350146764408547,0.3979986881611595
6,0.006006006006006006,0.3718575402804625,0.41265186545571214,0.4965552719201837,0.4040780596856979
7,0.007007007007007007,0.3945737830737033,0.42391668364615437,0.5047235200871357,0.41021057801687877
8,0.008008008008008008,0.4153882287396791,0.4328393241539928,0.5156723133449602,0.4164215056847256
9,0.009009009009009009,0.4291191944717729,0.4423183000836156,0.5231913652214379,0.4226745411175252
10,0.01001001001001001,0.44541679968023845,0.45217422889210096,0.5282819510102557,0.42896081399124963
11,0.011011011011011011,0.45667693982196583,0.45773361823484315,0.5342767796987921,0.4353362113981134
12,0.012012012012012012,0.47168510226131993,0.46462123078025197,0.5407976684881323,0.44178579370583865
13,0.013013013013013013,0.4839266799641472,0.4693353858127804,0.5456733936710941,0.4482859487252098
14,0.014014014014014014,0.49377200247866554,0.4738381646426296,0.5488752909275776,0.45485547168343166
15,0.015015015015015015,0.4974540936962818,0.4778296641460797,0.5523855661811129,0.46144897239745775
16,0.016016016016016016,0.5108743537714416,0.4816695033745938,0.557624180181656,0.46809133719879975
17,0.017017017017017015,0.5162779890906953,0.4861683096449961,0.5617193834421799,0.474795030105726
18,0.018018018018018018,0.5244819377609425,0.48944112005211143,0.5670939895115478,0.4815707190701928
19,0.01901901901901902,0.5292263059022232,0.4940092953661268,0.5719633152687674,0.4883970126932711
20,0.02002002002002002,0.5374181121755444,0.4974748813447404,0.57378428049649,0.49526995777087374
21,0.02102102102102102,0.5438535677811899,0.5032544978364932,0.5762727674396879,0.50215262725673
22,0.022022022022022022,0.550576955782796,0.5048562971084056,0.5804243594382285,0.5090720666100335
23,0.023023023023023025,0.5545675869257087,0.5079090420640034,0.5852222254558695,0.5160290226152298
24,0.024024024024024024,0.5624031634916604,0.5097309127898849,0.588299992406678,0.5230021374611408
25,0.025025025025025023,0.5695610342214057,0.5127081043263919,0.5918951861201255,0.5300071047740029
26,0.026026026026026026,0.5776932498296786,0.513534277198523,0.5958862485200227,0.5370441070833019
27,0.02702702702702703,0.5836787701084232,0.5166216679445578,0.5970143262525938,0.5441080652733313
28,0.028028028028028028,0.587250678553727,0.5186748901654127,0.5987505098233451,0.5501477261884746
29,0.029029029029029027,0.5916858436496325,0.521607622304474,0.6011865138785719,0.5554485252513779
30,0.03003003003003003,0.593167250311417,0.524261912051993,0.6012127648636026,0.5602101831631067
31,0.031031031031031032,0.5942601383165381,0.528734001136222,0.6053457991448931,0.5645802872363277
32,0.03203203203203203,0.597610792685057,0.5306185967294483,0.6082420105994528,0.5685931707208495
33,0.03303303303303303,0.6033855667206439,0.532999681554349,0.6120827802488504,0.5723645468737207
34,0.03403403403403403,0.605186048815058,0.5348804918319108,0.6148439759146492,0.575906628801069
35,0.035035035035035036,0.6064533140302023,0.53708719598101,0.6164553350119014,0.5792847055098298
36,0.036036036036036036,0.6153061351540444,0.5388734353245772,0.6194523281148118,0.5824860144503009
37,0.037037037037037035,0.6217276734614354,0.5409716281468303,0.6222828868169833,0.585556885715272
38,0.03803803803803804,0.623066661688494,0.543954594593079,0.6256985570254936,0.588456990062743
39,0.03903903903903904,0.6281479114654306,0.5466344258112736,0.6285507706745199,0.5912346427069645
40,0.04004004004004004,0.6303520489631773,0.5469739526892291,0.629675702936874,0.5939363310430722
41,0.04104104104104104,0.6342540668755312,0.5488057481706717,0.6314180949023951,0.596596952236844
42,0.04204204204204204,0.6383244650798416,0.5507239013042899,0.6348127437188545,0.5991628981745175
43,0.043043043043043044,0.6446532256850179,0.5512652554262325,0.63895802579546,0.601676970769229
44,0.044044044044044044,0.6503350162513466,0.5519462390727283,0.6403377643501901,0.6041090437703385
45,0.04504504504504504,0.6551491616966725,0.5524287865782633,0.6421787439415323,0.6064779645144542
46,0.04604604604604605,0.651570767768018,0.5544987202126994,0.6451750386985672,0.6087866606733479
47,0.04704704704704705,0.654709855426689,0.5557204659298708,0.6464399950421583,0.61103747617618
48,0.04804804804804805,0.6580727781023179,0.556552803878513,0.6479847821574903,0.6132764064455879
49,0.04904904904904905,0.6597686407141757,0.555632375945395,0.6496816501080889,0.6154750972839776
50,0.050050050050050046,0.661857484963783,0.5567449203319056,0.6513536889155073,0.6176178781741694
51,0.05105105105105105,0.663072768361812,0.5572089292238455,0.654575751080351,0.6196827595567073
52,0.05205205205205205,0.6640747353837866,0.5586615385306551,0.656245424503348,0.62167573641434
53,0.05305305305305305,0.6649144885079804,0.5593313207104056,0.6571672930360698,0.6236148246453956
54,0.05405405405405406,0.6656561281127057,0.5606862511353138,0.6587267709652747,0.6255245156492844
55,0.055055055055055056,0.6663968809946266,0.5608784693007064,0.6586698618534306,0.6273888533706612
56,0.056056056056056056,0.6693799236805453,0.5622344698535834,0.6611421663974151,0.6292574943627904
57,0.057057057057057055,0.6704471391367904,0.5631280927298937,0.6614606189215209,0.631085534653238
58,0.058058058058058054,0.6729891229526492,0.5642233091646903,0.6630221060789433,0.6328798853199854
59,0.05905905905905906,0.6773260382350185,0.5652734464843703,0.6632389164035394,0.6346254651534786
60,0.06006006006006006,0.6791806070640646,0.5670895348172241,0.6652044543359357,0.6363662342999011
61,0.06106106106106106,0.6812475317053348,0.5690538027046697,0.6653719130646762,0.638083619302476
62,0.062062062062062065,0.682919986483281,0.5700713275168271,0.6655393272960634,0.6397246536166438
63,0.06306306306306306,0.6837029817918188,0.5704382709593916,0.6666787139415474,0.6413027244317936
64,0.06406406406406406,0.6844849742062612,0.5711935059609579,0.6682378338466805,0.6428253460107468
65,0.06506506506506507,0.6879799850242934,0.5728055107131924,0.6690582777358649,0.6443044637233803
66,0.06606606606606606,0.6895986408654264,0.574764751682267,0.6703809741228696,0.6457532757033516
67,0.06706706706706707,0.6952171338103841,0.5752036310759903,0.6723370009053844,0.6471623370193349
68,0.06806806806806806,0.6993199638755796,0.5767394348785287,0.6727593904146105,0.6485319436367228
69,0.06906906906906907,0.7007087837450875,0.5776974266910797,0.6747180060581728,0.64985394781883
70,0.07007007007007007,0.7020982051421575,0.5783742747433703,0.6771713105013034,0.6511340839678108
71,0.07107107107107107,0.7034960624797106,0.5794581201905675,0.678953603657199,0.6523828440552009
72,0.07207207207207207,0.7091128308605746,0.5789276420718212,0.6797151320583126,0.6536387714735173
73,0.07307307307307308,0.7173093054691219,0.5793725764920655,0.6817320615876554,0.6548671081439439
74,0.07407407407407407,0.7196739237188643,0.580235703833256,0.6841889251670811,0.6560769265305797
75,0.07507507507507508,0.7220510137566263,0.581311979685906,0.6849165514450296,0.6572805815662593
76,0.07607607607607608,0.7225181851920174,0.5824460244419497,0.6851269665622555,0.658466496126205
77,0.07707707707707707,0.7229849877071978,0.5832238786008246,0.6858303684580178,0.659630777866149
78,0.07807807807807808,0.7234514217389935,0.5828878493880881,0.6876559925300099,0.6607766336497453
79,0.07907907907907907,0.7239174877235409,0.5838795349839737,0.6890617794299528,0.661914385269262
80,0.08008008008008008,0.7243831860962888,0.5846747521848791,0.6906657129221768,0.663044042053121
81,0.08108108108108109,0.7274386255248488,0.5856920526139945,0.6914133208839499,0.6641878144980541
82,0.08208208208208208,0.7285559567176356,0.5868418794343039,0.6926322668841657,0.6652952184196019
83,0.08308308308308308,0.7296711691290714,0.5878861146634382,0.6934497682337811,0.6663980504173473
84,0.08408408408408408,0.7317061990992586,0.5893971851556024,0.6944383587934277,0.6674932523807222
85,0.08508508508508508,0.7354869086525837,0.5903629769155448,0.6953983103961575,0.668570191037289
86,0.08608608608608609,0.7361145626283156,0.5903317481371138,0.6963094396516559,0.6696188118539151
87,0.08708708708708708,0.7367415431300399,0.5912303767356923,0.6967382287953735,0.6706510311671829
88,0.08808808808808809,0.7373678512411335,0.5919984299842762,0.6970607419177485,0.6716740959724362
89,0.0890890890890891,0.7379934880426514,0.592443787420646,0.6952436394235842,0.6726881018063111
90,0.09009009009009009,0.740095787523871,0.5931107685443605,0.6964315619159366,0.673694000964478
91,0.09109109109109109,0.7373960067735398,0.5935829905517414,0.6976909401996222,0.6746653062123121
92,0.0920920920920921,0.7375388285943985,0.5939862456424345,0.6985392170572039,0.6756108355061736
93,0.09309309309309309,0.7391589343822496,0.5951657459867907,0.6990862421942878,0.6765282927883418
94,0.0940940940940941,0.7400859945373869,0.5958617640365615,0.7011953881951664,0.6774043954254202
95,0.09509509509509509,0.7410115567339977,0.5962381728231071,0.7012301209112299,0.6782595797084446
96,0.0960960960960961,0.7432064587443665,0.5973687947380176,0.7002417321047651,0.679098029814976
97,0.0970970970970971,0.7455502424540059,0.5980685585012037,0.6997826207264859,0.6799250187364628
98,0.0980980980980981,0.7471817196083688,0.5975468954660644,0.7000772118995462,0.6807328579617212
99,0.0990990990990991,0.7479974666964138,0.597561438156714,0.7021536724404682,0.681488727658077
100,0.10010010010010009,0.7488120456722951,0.5978493674832304,0.7025804740711299,0.6821956716339894
101,0.1011011011011011,0.7496254590432417,0.5989449539730158,0.7028306088666064,0.6828845997441012
102,0.1021021021021021,0.750190005705107,0.599801291145571,0.7030012580267674,0.6835702430244334
103,0.1031031031031031,0.7505423117475695,0.6004869044661154,0.7032684170943577,0.684240626089278
104,0.1041041041041041,0.7508943992459595,0.6013845896377732,0.7032101111567826,0.6849065008170647
105,0.10510510510510511,0.7512462684035661,0.6019224570506017,0.7047379126895296,0.685565162666792
106,0.1061061061061061,0.7515979194234268,0.6030867725749318,0.7062577042251856,0.6862177702045813
107,0.10710710710710711,0.7519493525083268,0.6033920606894775,0.7068479467305665,0.6868443035657288
108,0.10810810810810811,0.7523005678608008,0.6040606926791506,0.7074078859032894,0.6874538880545645
109,0.1091091091091091,0.7526515656831322,0.6066241466263409,0.7085247262831729,0.688051328892728
110,0.11011011011011011,0.7559014428138617,0.6067299211452492,0.7079786516185073,0.6886226848322664
111,0.1111111111111111,0.7563115911420836,0.6078292970314341,0.7077726929875217,0.6891632481501853
112,0.11211211211211211,0.7567214417916128,0.607896315320772,0.7089850452922717,0.6897128815080826
113,0.11311311311311312,0.7571309950864074,0.6081868501619281,0.7097417112515821,0.6902661648515959
114,0.11411411411411411,0.7575402513499546,0.6067060174750535,0.7117165904506184,0.690819372941174
115,0.11511511511511512,0.7579492109052736,0.6070307265440347,0.7128389477641256,0.6913866914807019
116,0.11611611611611611,0.7583578740749144,0.6069580025030382,0.7131375998140299,0.6919325785199963
117,0.11711711711711711,0.759475243425147,0.6066069275750099,0.7133281776312047,0.6924955156300922
118,0.11811811811811812,0.7612702246093034,0.6073410549716405,0.7145174503825484,0.6930584781883213
119,0.11911911911911911,0.7593111790100641,0.6083328305766524,0.7152184830549934,0.6936015923191613
120,0.12012012012012012,0.7573495594847443,0.6101308542730032,0.7164869980393308,0.6941429706425843
121,0.12112112112112113,0.757957925927653,0.6118817622199649,0.7160869685385054,0.6946688239651765
122,0.12212212212212212,0.7596741301221733,0.6124294936766826,0.7163334675161093,0.6951870195600593
123,0.12312312312312312,0.761470803036764,0.6127631882042448,0.717121015214261,0.6956967752409675
124,0.12412412412412413,0.762506815859281,0.6136122389233404,0.7179429523086431,0.6962239854466439
125,0.12512512512512514,0.7621029512984034,0.6135295763393298,0.7166284533960732,0.696766106313969
126,0.12612612612612611,0.7616989755752256,0.6141202402218777,0.7178663299375406,0.6973126024475919
127,0.12712712712712712,0.7612948884792932,0.6155111330472232,0.7181885765605281,0.6978516755955425
128,0.12812812812812813,0.760890689799621,0.6151134267095374,0.7186037271781183,0.6983982051365843
129,0.12912912912912913,0.760486379324691,0.6160864208746161,0.7193012968091409,0.6989488155226079
130,0.13013013013013014,0.7600819568424491,0.6168882787491595,0.72066382955416,0.6994801586859389
131,0.13113113113113112,0.7596774221403052,0.6171139203316749,0.722781262013124,0.7000100614789802
132,0.13213213213213212,0.759272775005131,0.6180066647257657,0.7231241635474662,0.7005240145790257
133,0.13313313313313313,0.7588680152232579,0.6189609782268457,0.7234675363778535,0.7010336997344884
134,0.13413413413413414,0.7584631425804754,0.6198774334899338,0.7240749241949107,0.7015402942919529
135,0.13513513513513514,0.75805815686203,0.6206157319614563,0.7242853129741691,0.7020305404298449
136,0.13613613613613612,0.7584532525667007,0.6209981977518081,0.7245029332873812,0.7025076635576796
137,0.13713713713713713,0.7600779837518705,0.6213385818158855,0.7254330886076118,0.702977637496391
138,0.13813813813813813,0.7609459064253529,0.622637935290023,0.7257786585032574,0.7034434037739188
